antigen_id,antigen_host_class,antigen_host_order,antigen_host_family,antigen_host_genus,antigen_host_species,antigen_collection_location_continent,antigen_collection_location_country,antigen_collection_location_region,antigen_collection_year
EPI99352,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Russian Federation,Novosibirsk Oblast,2005
EPI99374,Aves,Anseriformes,Anatidae,,,Asia,China,Qinghai Province,2005
EPI99667,Aves,Not Specified,,,,Asia,China,Qinghai Province,2005
EPI99669,Aves,Anseriformes,Anatidae,,,Asia,China,Qinghai Province,2005
EPI99675,Aves,Galliformes,Phasianidae,Meleagris,,Asia,China,Qinghai Province,2005
EPI99677,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Qinghai Province,2005
EPI99679,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Qinghai Province,2005
EPI99892,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Vietnam,,2005
EPI99894,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Thailand,Kamphaeng Phet,2005
EPI99896,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Thailand,,2005
EPI99898,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Thailand,Kamphaeng Phet,2005
EPI99900,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Thailand,Kamphaeng Phet,2005
EPI99999,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Thailand,,2005
EPI103075,Aves,Anseriformes,Anatidae,Cygnus,,Asia,Iraq,,2006
EPI103091,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Iraq,,2006
EPI105372,Aves,Anseriformes,Anatidae,Cygnus,,Africa,Egypt,,2006
EPI105567,Mammalia,Carnivora,Felidae,Felis,catus,Europe,Russian Federation,,2006
EPI105698,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Russian Federation,,2006
EPI105706,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Czech Republic,,2006
EPI105714,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Germany,,2006
EPI106012,Aves,Charadriiformes,Laridae,Larus,ridibundus,Africa,Djibouti,,2006
EPI106171,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Cote d'Ivoire,,2006
EPI106173,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Russian Federation,,2006
EPI106195,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Israel,,2006
EPI106197,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Israel,,2006
EPI106235,Aves,Anseriformes,Anatidae,,,Asia,China,Zhejiang Province,2006
EPI106239,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,China,,2006
EPI106243,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangdong Province,2006
EPI106316,Aves,Not Specified,,,,Asia,China,Qinghai Province,2006
EPI106334,Aves,Anseriformes,Anatidae,,,Asia,China,Qinghai Province,2006
EPI106352,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,,2006
EPI106362,Aves,Not Specified,,,,Africa,Egypt,,2006
EPI106406,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,,2006
EPI106408,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,,2006
EPI106410,Aves,Anseriformes,Anatidae,,,Africa,Niger,,2006
EPI106416,Mammalia,Carnivora,Felidae,Felis,catus,Europe,Russian Federation,Tyva Republic,2006
EPI106418,Aves,Anseriformes,Anatidae,,,Africa,Sudan,,2006
EPI107723,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Henan Province,2006
EPI107727,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Shandong Province,2006
EPI107739,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI107761,Aves,Anseriformes,Anatidae,,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI107769,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI107771,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Fujian Province,2006
EPI107773,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI107775,Aves,Anseriformes,Anatidae,,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI107777,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI107779,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI107781,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI107799,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI107801,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI107803,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI107805,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI107813,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,,2006
EPI107815,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI107817,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI107827,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI107829,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI107831,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI107833,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI107835,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI107843,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI107849,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI107851,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,,2006
EPI107853,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,,2006
EPI107855,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI107857,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI107865,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI107867,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI107885,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI107893,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI107899,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI107907,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI107909,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI107913,Aves,Anseriformes,Anatidae,,,Asia,China,Yunnan Province,2006
EPI107915,Aves,Anseriformes,Anatidae,,,Asia,China,Yunnan Province,2006
EPI107917,Aves,Anseriformes,Anatidae,,,Asia,China,Yunnan Province,2006
EPI107919,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI107921,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI107941,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI107947,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Fujian Province,2006
EPI107949,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Fujian Province,2006
EPI107951,Aves,Not Specified,,,,Asia,China,,2006
EPI107953,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,,2006
EPI107955,Aves,Not Specified,,,,Asia,China,,2006
EPI107957,Aves,Not Specified,,,,Asia,China,,2006
EPI107959,Aves,Not Specified,,,,Asia,China,,2006
EPI107961,Aves,Not Specified,,,,Asia,China,,2006
EPI107963,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,,2006
EPI107969,Aves,Not Specified,,,,Asia,China,,2006
EPI107971,Aves,Not Specified,,,,Asia,China,,2006
EPI107973,Aves,Not Specified,,,,Asia,China,,2006
EPI107975,Aves,Not Specified,,,,Asia,China,,2006
EPI107977,Aves,Not Specified,,,,Asia,China,,2006
EPI107979,Aves,Not Specified,,,,Asia,China,,2006
EPI107981,Aves,Not Specified,,,,Asia,China,,2006
EPI107987,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI107989,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Liaoning Province,2006
EPI107991,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Shandong Province,2006
EPI107993,Aves,Anseriformes,Anatidae,,,Asia,China,Yunnan Province,2006
EPI107995,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Shanxi Province,2006
EPI107999,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Yunnan Province,2006
EPI108031,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108033,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108035,Aves,Anseriformes,Anatidae,,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108037,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108039,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108045,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108055,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108119,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108123,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI108125,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI108135,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108151,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI108153,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI108155,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI108157,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI108159,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI108161,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI108163,Aves,Anseriformes,Anatidae,,,Asia,Myanmar,,2006
EPI108213,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2006
EPI108215,Aves,Anseriformes,Anatidae,,,Asia,China,Hunan Province,2006
EPI108217,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Yunnan Province,2006
EPI108219,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Yunnan Province,2006
EPI108235,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108237,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108241,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108243,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108245,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108249,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108253,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108255,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI108257,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI108259,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI108261,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI108265,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108267,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108269,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108271,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI108273,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI108275,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI108277,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108279,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108281,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI108283,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI108285,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108287,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI108289,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI108291,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI108293,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI108295,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI108297,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI108299,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI108301,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI108303,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108305,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI108307,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI108309,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI108311,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108313,Aves,Anseriformes,Anatidae,,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108315,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108317,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI108319,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Hunan Province,2006
EPI108323,Aves,Anseriformes,Anatidae,,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108325,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108327,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108329,Aves,Anseriformes,Anatidae,,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108331,Aves,Anseriformes,Anatidae,,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108333,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108335,Aves,Anseriformes,Anatidae,,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108337,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108339,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108341,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108343,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,,2006
EPI108345,Aves,Anseriformes,Anatidae,,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108347,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108349,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108351,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108353,Aves,Anseriformes,Anatidae,,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108355,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI108357,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI108359,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108361,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108363,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI108365,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108367,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI108369,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108371,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI108373,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108375,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108377,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI108379,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108381,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI108383,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,,2006
EPI108385,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI108387,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108389,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI108391,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108397,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI108399,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI108401,Aves,Anseriformes,Anatidae,,,Asia,China,Yunnan Province,2006
EPI108403,Aves,Anseriformes,Anatidae,,,Asia,China,Yunnan Province,2006
EPI108405,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Yunnan Province,2006
EPI108407,Aves,Anseriformes,Anatidae,,,Asia,China,Yunnan Province,2006
EPI108409,Aves,Anseriformes,Anatidae,,,Asia,China,Yunnan Province,2006
EPI108411,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Yunnan Province,2006
EPI108413,Aves,Anseriformes,Anatidae,,,Asia,China,Yunnan Province,2006
EPI108415,Aves,Anseriformes,Anatidae,,,Asia,China,Yunnan Province,2006
EPI108419,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Yunnan Province,2006
EPI108421,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Yunnan Province,2006
EPI108423,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Yunnan Province,2006
EPI108425,Aves,Anseriformes,Anatidae,,,Asia,China,Yunnan Province,2006
EPI108427,Aves,Anseriformes,Anatidae,,,Asia,China,Yunnan Province,2006
EPI108429,Aves,Anseriformes,Anatidae,,,Asia,China,Yunnan Province,2006
EPI108431,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Yunnan Province,2006
EPI108433,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108435,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Fujian Province,2006
EPI108437,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Fujian Province,2006
EPI108439,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Fujian Province,2006
EPI108441,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI108443,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108445,Aves,Anseriformes,Anatidae,,,Asia,China,Yunnan Province,2006
EPI108449,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Yunnan Province,2006
EPI108451,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Yunnan Province,2006
EPI108453,Aves,Anseriformes,Anatidae,,,Asia,China,Fujian Province,2006
EPI108455,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Fujian Province,2006
EPI108457,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108459,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108461,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108463,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108465,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,,2006
EPI108467,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108469,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,,2006
EPI108471,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,,2006
EPI108473,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108475,Aves,Anseriformes,Anatidae,,,Asia,China,,2006
EPI108477,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2006
EPI108481,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Yunnan Province,2006
EPI108483,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Yunnan Province,2006
EPI108485,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Yunnan Province,2006
EPI108487,Aves,Anseriformes,Anatidae,,,Asia,China,Yunnan Province,2006
EPI108489,Aves,Anseriformes,Anatidae,,,Asia,China,Yunnan Province,2006
EPI108491,Aves,Anseriformes,Anatidae,,,Asia,China,Yunnan Province,2006
EPI108493,Aves,Anseriformes,Anatidae,,,Asia,China,Yunnan Province,2006
EPI108495,Aves,Anseriformes,Anatidae,,,Asia,China,Yunnan Province,2006
EPI108499,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Yunnan Province,2006
EPI108501,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Yunnan Province,2006
EPI108503,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Yunnan Province,2006
EPI108505,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Fujian Province,2006
EPI108507,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Fujian Province,2006
EPI108509,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Guangxi Zhuang Autonomous Region,2006
EPI108511,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Fujian Province,2006
EPI108513,Aves,Anseriformes,Anatidae,Anas,,Asia,China,Fujian Province,2006
EPI108515,Aves,Anseriformes,Anatidae,,,Asia,China,Fujian Province,2006
EPI109421,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Thailand,,2006
EPI109451,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Thailand,,2006
EPI110233,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,China,,2006
EPI110251,Aves,Anseriformes,Anatidae,,,Africa,Egypt,,2006
EPI110257,Mammalia,Primates,Hominidae,Homo,sapiens,Africa,Egypt,,2006
EPI110452,Aves,Accipitriformes,Accipitridae,Necrosyrtes,monachus,Africa,Egypt,,2006
EPI110456,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,,2006
EPI110712,Aves,Not Specified,,,,Africa,Egypt,,2006
EPI114585,Aves,Not Specified,,,,Africa,Egypt,,2006
EPI114589,Aves,Anseriformes,Anatidae,Cygnus,,Africa,Egypt,,2006
EPI114591,Aves,Not Specified,,,,Africa,Burkina Faso,,2006
EPI114593,Aves,Not Specified,,,,Africa,Burkina Faso,,2006
EPI114595,Aves,Not Specified,,,,Africa,Burkina Faso,,2006
EPI114597,Aves,Not Specified,,,,Europe,Switzerland,,2006
EPI114599,Aves,Accipitriformes,Accipitridae,Buteo,buteo,Europe,Switzerland,,2006
EPI114601,Aves,Anseriformes,Anatidae,Cygnus,olor,Europe,Germany,Bavaria,2006
EPI114603,Aves,Not Specified,,,,Europe,Germany,Bavaria,2006
EPI114605,Aves,Anseriformes,Anatidae,Cygnus,,Europe,Germany,Bavaria,2006
EPI114607,Aves,Falconiformes,Falconidae,Falco,,Europe,Germany,Bavaria,2006
EPI114609,Aves,Anseriformes,Anatidae,Cygnus,,Europe,Germany,Bavaria,2006
EPI114611,Aves,Anseriformes,Anatidae,Cygnus,,Europe,Germany,Bavaria,2006
EPI114613,Aves,Not Specified,,,,Europe,Germany,Bavaria,2006
EPI114615,Aves,Anseriformes,Anatidae,,,Europe,Germany,Bavaria,2006
EPI114617,Aves,Not Specified,,,,Europe,Germany,Bavaria,2006
EPI114619,Aves,Anseriformes,Anatidae,Cygnus,,Europe,Germany,Bavaria,2006
EPI114621,Aves,Not Specified,,,,Europe,Germany,Bavaria,2006
EPI114790,Mammalia,Primates,Hominidae,Homo,sapiens,Europe,Germany,Bavaria,2006
EPI114792,Mammalia,Primates,Hominidae,Homo,sapiens,Europe,Germany,Bavaria,2006
EPI114794,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Germany,Bavaria,2006
EPI114798,Aves,Anseriformes,Anatidae,,,Europe,Germany,Bavaria,2006
EPI114800,Aves,Anseriformes,Anatidae,,,Europe,Germany,Bavaria,2006
EPI114802,Aves,Galliformes,Phasianidae,Meleagris,,Europe,Germany,Bavaria,2006
EPI114804,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Germany,Bavaria,2006
EPI114806,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Germany,Bavaria,2006
EPI114969,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,,2006
EPI114987,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,,2006
EPI115013,Aves,Anseriformes,Anatidae,Cygnus,olor,Europe,Germany,,2006
EPI115075,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Russian Federation,,2006
EPI115079,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,India,,2006
EPI115081,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,India,,2006
EPI115085,Aves,Anseriformes,Anatidae,,,Europe,Austria,,2006
EPI115111,Aves,Anseriformes,Anatidae,,,Europe,Austria,,2006
EPI115422,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,,2006
EPI115424,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,,2006
EPI115438,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,,2006
EPI115440,Aves,Galliformes,Phasianidae,Gallus,gallus,Africa,Egypt,,2006
EPI116174,Aves,Anseriformes,Anatidae,,,Asia,Thailand,Phichit,2006
EPI116232,Aves,Anseriformes,Anatidae,,,Africa,Egypt,,2006
EPI116234,Aves,Galliformes,Phasianidae,Polyplectron,bicalcaratum,Africa,Egypt,,2006
EPI116238,Aves,Not Specified,,,,Africa,Egypt,,2006
EPI116246,Aves,Not Specified,,,,Europe,Denmark,,2006
EPI116248,Aves,Not Specified,,,,Europe,Denmark,,2006
EPI116412,Aves,Galliformes,Phasianidae,Meleagris,,Europe,Denmark,,2006
EPI116414,Aves,Galliformes,Phasianidae,Meleagris,,Europe,Denmark,,2006
EPI116416,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Denmark,,2006
EPI116418,Aves,Galliformes,Phasianidae,Meleagris,,Europe,Germany,Bavaria,2006
EPI116422,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Denmark,,2006
EPI116452,Mammalia,Primates,Hominidae,Homo,sapiens,Europe,Denmark,,2006
EPI116454,Mammalia,Primates,Hominidae,Homo,sapiens,Europe,Denmark,,2006
EPI116456,Mammalia,Primates,Hominidae,Homo,sapiens,Europe,Denmark,,2006
EPI116458,Mammalia,Primates,Hominidae,Homo,sapiens,Europe,Denmark,,2006
EPI116460,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Israel,,2006
EPI116462,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Israel,,2006
EPI116464,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Israel,,2006
EPI116466,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Israel,,2006
EPI1168869,Aves,Not Specified,,,,Asia,China,Yunnan Province,2006
EPI118814,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,China,Qinghai Province,2006
EPI118816,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,China,Tibet Autonomous Region,2006
EPI118966,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Tibet Autonomous Region,2006
EPI118968,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,China,Liaoning Province,2006
